Title,Author,Runtime
The Terminal List,Jack Carr,12 hrs and 3 mins
James,Percival Everett,7 hrs and 49 mins
The Brothers Kenney,Adam Mitzner,7 hrs and 23 mins
Pretty Girls,Karin Slaughter,20 hrs
A Werewolf's Guide to Seducing a Vampire,Sarah Hawley,13 hrs and 27 mins
The History of the Ancient World,Susan Wise Bauer,26 hrs and 20 mins
The 5AM Club,Robin Sharma,11 hrs and 4 mins
Part of Your World,Abby Jimenez,10 hrs and 5 mins
The Power of Now,Eckhart Tolle,7 hrs and 37 mins
48 Laws of Power,Robert Greene,23 hrs and 6 mins
Ember,"Brian Andrews, Jeffrey Wilson",13 hrs and 57 mins
Until I Claim You: An Age Gap Romance,Callie Stevens,9 hrs and 57 mins
The Two Towers,J. R. R. Tolkien,20 hrs and 46 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20 hrs and 36 mins
Paranormal Activity,Paramount Pictures,4 hrs and 43 mins
The Eye of the Bedlam Bride,Matt Dinniman,26 hrs and 46 mins
The Housemaid's Secret,Freida McFadden,9 hrs and 44 mins
Never Finished,David Goggins,11 hrs and 6 mins
Children of Dune,Frank Herbert,16 hrs and 51 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins
Till Death Do Us Part,Laurie Elizabeth Flynn,10 hrs and 50 mins
The History of the Ancient World,Susan Wise Bauer,26 hrs and 20 mins
Until I Claim You: An Age Gap Romance,Callie Stevens,9 hrs and 57 mins
Funny Story,Emily Henry,11 hrs and 23 mins
Coldhearted King,L. M. Dalgleish,11 hrs and 2 mins
Ready Player One,Ernest Cline,15 hrs and 40 mins
The 5AM Club,Robin Sharma,11 hrs and 4 mins
Part of Your World,Abby Jimenez,10 hrs and 5 mins
The Power of Now,Eckhart Tolle,7 hrs and 37 mins
48 Laws of Power,Robert Greene,23 hrs and 6 mins
Ember,"Brian Andrews, Jeffrey Wilson",13 hrs and 57 mins
The Two Towers,J. R. R. Tolkien,20 hrs and 46 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20 hrs and 36 mins
Valley of Death,Jack Slater,10 hrs and 47 mins
The Eye of the Bedlam Bride,Matt Dinniman,26 hrs and 46 mins
The Housemaid's Secret,Freida McFadden,9 hrs and 44 mins
Never Finished,David Goggins,11 hrs and 6 mins
Children of Dune,Frank Herbert,16 hrs and 51 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins
Till Death Do Us Part,Laurie Elizabeth Flynn,10 hrs and 50 mins
The Count of Monte Cristo,Alexandre Dumas,52 hrs and 41 mins
The Chaos Agent,Mark Greaney,17 hrs and 34 mins
The Joy of Slow,"Leslie M. Martino, Ainsley Arment - foreword",8 hrs and 10 mins
Extreme Ownership,"Jocko Willink, Leif Babin",9 hrs and 33 mins
First Lie Wins,Ashley Elston,9 hrs and 16 mins
Tongue-Tied,Christina Lee,6 hrs and 35 mins
The Esther Mantle,Christy Johnston,8 hrs and 23 mins
The Assassin's Blade,Sarah J. Maas,12 hrs and 52 mins
Feeding the Machine,"Mark Graham, Callum Cant, James Muldoon",10 hrs and 30 mins
The Inmate,Freida McFadden,8 hrs and 5 mins
The Paleontologist,Luke Dumas,11 hrs and 38 mins
Ugly Love,Colleen Hoover,9 hrs and 14 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 26 mins
"Autocracy, Inc.",Anne Applebaum,4 hrs and 48 mins
The Secret Life of the Universe,Nathalie A. Cabrol,9 hrs and 18 mins
Atlas of the Heart,Brené Brown,8 hrs and 29 mins
Working with Anger,Thubten Chodron,5 hrs and 9 mins
Iron Flame,Rebecca Yarros,28 hrs and 16 mins
It Ends with Us,Colleen Hoover,11 hrs and 11 mins
Petra's Bikers,Misty Walker,9 hrs and 21 mins
"Goblin Slayer, Vol. 4","Kumo Kagyu, Noboru Kannatuki - illustrator, Kevin Steinbach - translator",6 hrs and 2 mins
All My Secrets,Lynn Austin,12 hrs and 37 mins
Breaking the Habit of Being Yourself,Joe Dispenza,10 hrs and 49 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,65 hrs and 31 mins
Restless Stars,"Caroline Peckham, Susanne Valenti",34 hrs and 26 mins
What This Comedian Said Will Shock You,Bill Maher,12 hrs and 50 mins
The Perfect Couple,Elin Hilderbrand,12 hrs and 8 mins
Mina's Matchbox,"Yoko Ogawa, Stephen B. Snyder - translator",8 hrs and 37 mins
A Court of Thorns and Roses,Sarah J. Maas,16 hrs and 7 mins
Jurassic Park,Michael Crichton,15 hrs and 10 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,13 hrs and 4 mins
Harry Potter and the Order of the Phoenix (Narrated by Stephen Fry),J.K. Rowling,29 hrs and 1 min
Mind Games,Nora Roberts,14 hrs and 52 mins
If You Want Me,Helena Hunting,13 hrs and 24 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,6 hrs and 11 mins
Kulti,Mariana Zapata,17 hrs and 18 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,8 hrs and 22 mins
Tripped,Norman Ohler,6 hrs and 13 mins
How to Win Friends & Influence People,Dale Carnegie,7 hrs and 15 mins
A Shadow in the Ember,Jennifer L. Armentrout,25 hrs and 7 mins
The Heaven & Earth Grocery Store,James McBride,12 hrs and 21 mins
